hour,base_load,fluctutating_load,PV_generation
0,0.000114155,2.03E-05,0
1,0.000114155,6.59E-06,0
2,0.000114155,6.14E-07,0
3,0.000114155,3.71E-06,0
4,0.000114155,1.46E-05,0
5,0.000114155,6.29E-05,0
6,0.000114155,0.000115971,0
7,0.000114155,0.000134903,0.010805861
8,0.000114155,0.000107481,0.046336996
9,0.000114155,6.72E-05,0.317948718
10,0.000114155,8.43E-05,0.561538462
11,0.000114155,5.83E-05,0.715018315
12,0.000114155,6.73E-05,0.795421245
13,0.000114155,7.08E-05,0.852564103
14,0.000114155,6.41E-05,0.839377289
15,0.000114155,9.77E-05,0.705128205
16,0.000114155,0.000174461,0.634615385
17,0.000114155,0.00022459,0.423809524
18,0.000114155,0.00022312,0.379304029
19,0.000114155,0.000217149,0.120512821
20,0.000114155,0.000196338,0.025457875
21,0.000114155,0.000172697,0.008424908
22,0.000114155,0.000119713,0
23,0.000114155,5.98E-05,0
24,0.000114155,2.71E-05,0
25,0.000114155,3.01E-06,0
26,0.000114155,0,0
27,0.000114155,5.62E-06,0
28,0.000114155,2.07E-05,0
29,0.000114155,4.41E-05,0
30,0.000114155,0.000112577,0
31,0.000114155,0.000126689,0.026190476
32,0.000114155,8.82E-05,0.087179487
33,0.000114155,9.12E-05,0.276007326
34,0.000114155,7.14E-05,0.337728938
35,0.000114155,8.91E-05,0.404578755
36,0.000114155,9.86E-05,0.527655678
37,0.000114155,8.40E-05,0.504029304
38,0.000114155,9.70E-05,0.33956044
39,0.000114155,0.000107426,0.297985348
40,0.000114155,0.000120344,0.28992674
41,0.000114155,0.000180561,0.308058608
42,0.000114155,0.000231429,0.188827839
43,0.000114155,0.000248745,0.068864469
44,0.000114155,0.000213956,0.015018315
45,0.000114155,0.000176144,0
46,0.000114155,0.000128205,0
47,0.000114155,6.46E-05,0
48,0.000114155,3.03E-05,0
49,0.000114155,6.71E-06,0
50,0.000114155,1.71E-06,0
51,0.000114155,5.30E-06,0
52,0.000114155,2.12E-05,0
53,0.000114155,5.21E-05,0
54,0.000114155,0.000141996,0
55,0.000114155,0.000141156,0.005128205
56,0.000114155,0.000101338,0.067216117
57,0.000114155,6.54E-05,0.171428571
58,0.000114155,7.18E-05,0.391391941
59,0.000114155,7.83E-05,0.418131868
60,0.000114155,6.80E-05,0.49047619
61,0.000114155,9.20E-05,0.506776557
62,0.000114155,8.73E-05,0.83021978
63,0.000114155,8.50E-05,0.602197802
64,0.000114155,0.000126123,0.440659341
65,0.000114155,0.000211023,0.376923077
66,0.000114155,0.000248721,0.247252747
67,0.000114155,0.000237068,0.136263736
68,0.000114155,0.000257267,0.066300366
69,0.000114155,0.000170189,0.004212454
70,0.000114155,0.000155594,0
71,0.000114155,8.60E-05,0
72,0.000114155,2.82E-05,0
73,0.000114155,2.16E-05,0
74,0.000114155,4.71E-06,0
75,0.000114155,8.42E-06,0
76,0.000114155,2.26E-05,0
77,0.000114155,5.53E-05,0
78,0.000114155,9.98E-05,0
79,0.000114155,0.000130586,0.021062271
80,0.000114155,8.78E-05,0.057326007
81,0.000114155,8.97E-05,0.305494505
82,0.000114155,7.13E-05,0.548168498
83,0.000114155,7.87E-05,0.745970696
84,0.000114155,6.80E-05,0.845604396
85,0.000114155,7.59E-05,0.902747253
86,0.000114155,7.06E-05,0.904945055
87,0.000114155,7.08E-05,0.848168498
88,0.000114155,0.000120372,0.730769231
89,0.000114155,0.000174438,0.523992674
90,0.000114155,0.000205598,0.326190476
91,0.000114155,0.000240765,0.154761905
92,0.000114155,0.000224736,0.042307692
93,0.000114155,0.000182393,0.006593407
94,0.000114155,0.000123211,0
95,0.000114155,8.58E-05,0
96,0.000114155,3.13E-05,0
97,0.000114155,9.08E-06,0
98,0.000114155,2.99E-06,0
99,0.000114155,1.04E-05,0
100,0.000114155,3.42E-05,0
101,0.000114155,4.83E-05,0
102,0.000114155,0.00013006,0
103,0.000114155,0.000132455,0.010805861
104,0.000114155,0.000101987,0.051648352
105,0.000114155,0.000111863,0.300549451
106,0.000114155,9.29E-05,0.477838828
107,0.000114155,0.000103645,0.543589744
108,0.000114155,0.000102633,0.672710623
109,0.000114155,0.000104854,0.65
110,0.000114155,9.21E-05,0.603479853
111,0.000114155,0.000103914,0.321978022
112,0.000114155,0.000177565,0.217948718
113,0.000114155,0.000210826,0.173626374
114,0.000114155,0.000237237,0.097252747
115,0.000114155,0.000226911,0.128021978
116,0.000114155,0.00020662,0.032967033
117,0.000114155,0.000179284,0.004761905
118,0.000114155,0.00015546,0
119,0.000114155,9.44E-05,0
120,0.000114155,4.80E-05,0
121,0.000114155,2.57E-05,0
122,0.000114155,1.05E-05,0
123,0.000114155,1.67E-05,0
124,0.000114155,1.95E-05,0
125,0.000114155,2.27E-05,0
126,0.000114155,4.34E-05,0
127,0.000114155,6.81E-05,0.013369963
128,0.000114155,0.000119651,0.072161172
129,0.000114155,0.000170612,0.144871795
130,0.000114155,0.000190141,0.298168498
131,0.000114155,0.000205293,0.657692308
132,0.000114155,0.000192269,0.517032967
133,0.000114155,0.000161038,0.485531136
134,0.000114155,0.000168211,0.591391941
135,0.000114155,0.000152793,0.625274725
136,0.000114155,0.000185696,0.641208791
137,0.000114155,0.000226489,0.472527473
138,0.000114155,0.000260162,0.356776557
139,0.000114155,0.000249004,0.14047619
140,0.000114155,0.000203057,0.034432234
141,0.000114155,0.000166627,0.006776557
142,0.000114155,0.000153194,0
143,0.000114155,0.000118865,0
144,0.000114155,6.51E-05,0
145,0.000114155,3.14E-05,0
146,0.000114155,8.13E-06,0
147,0.000114155,1.20E-05,0
148,0.000114155,1.12E-05,0
149,0.000114155,1.67E-05,0
150,0.000114155,3.51E-05,0
151,0.000114155,6.46E-05,0.014102564
152,0.000114155,0.000129859,0.061538462
153,0.000114155,0.000204618,0.100915751
154,0.000114155,0.000229572,0.1496337
155,0.000114155,0.00021659,0.209340659
156,0.000114155,0.000236309,0.526739927
157,0.000114155,0.000197336,0.778571429
158,0.000114155,0.000167806,0.893589744
159,0.000114155,0.00020375,0.738827839
160,0.000114155,0.000254427,0.654578755
161,0.000114155,0.000298936,0.588644689
162,0.000114155,0.000319693,0.366849817
163,0.000114155,0.000310734,0.13021978
164,0.000114155,0.000251135,0.021611722
165,0.000114155,0.000197635,0.004212454
166,0.000114155,0.000153191,0
167,0.000114155,5.78E-05,0
